,1,2,3,4,5,1_n,2_n,3_n,4_n,5_n,1_sh1,2_sh1,3_sh1,4_sh1,5_sh1,1_sh2,2_sh2,3_sh2,4_sh2,5_sh2
1,0.0,0.0753706693649292,0.0809430181980133,0.103709876537323,0.08519840240478516,0.0014835596084594727,0.08194589614868164,0.07820090651512146,0.09979778528213501,0.10118550062179565,0.0006467103958129883,0.07634294033050537,0.08042457699775696,0.1008157730102539,0.08618032932281494,0.00142592191696167,0.07640618085861206,0.07992622256278992,0.10284346342086792,0.08716195821762085
2,0.0753706693649292,0.0,0.10835719108581543,0.09983563423156738,0.05625945329666138,0.07753962278366089,0.0028151273727416992,0.10165470838546753,0.09579360485076904,0.0784292221069336,0.07488960027694702,0.00025334954261779785,0.1082872748374939,0.1009499728679657,0.05808830261230469,0.07431691884994507,0.000568389892578125,0.10953518748283386,0.10000789165496826,0.05943247675895691
3,0.0809430181980133,0.10835719108581543,0.0,0.0919400155544281,0.15273460745811462,0.08913829922676086,0.12208735942840576,0.017083317041397095,0.09755843877792358,0.17856672406196594,0.08099311590194702,0.10781669616699219,0.030086249113082886,0.09136399626731873,0.15421909093856812,0.08041468262672424,0.10854366421699524,0.0008035898208618164,0.09144571423530579,0.15283378958702087
4,0.103709876537323,0.09983563423156738,0.0919400155544281,0.0,0.1674095094203949,0.10925573110580444,0.1180470883846283,0.11202624440193176,0.0036877691745758057,0.20589521527290344,0.09793359041213989,0.10031008720397949,0.09145942330360413,0.0003941655158996582,0.16506803035736084,0.09866523742675781,0.09918060898780823,0.09257441759109497,0.0008798837661743164,0.16659563779830933
5,0.08519840240478516,0.05625945329666138,0.15273460745811462,0.1674095094203949,0.0,0.08178853988647461,0.053881317377090454,0.12921559810638428,0.1543433666229248,0.005906909704208374,0.0880511999130249,0.05816173553466797,0.15420064330101013,0.16601711511611938,9.864568710327148e-05,0.08774501085281372,0.0581335723400116,0.15225639939308167,0.16466253995895386,0.0002225637435913086
1_n,0.0014835596084594727,0.07753962278366089,0.08913829922676086,0.10925573110580444,0.08178853988647461,0.0,0.0815766453742981,0.07960653305053711,0.10499340295791626,0.0940503478050232,0.0021002888679504395,0.07697618007659912,0.08715999126434326,0.11032360792160034,0.08270430564880371,0.0030357837677001953,0.07826024293899536,0.08694353699684143,0.11299270391464233,0.08244264125823975
2_n,0.08194589614868164,0.0028151273727416992,0.12208735942840576,0.1180470883846283,0.053881317377090454,0.0815766453742981,0.0,0.10827606916427612,0.11050456762313843,0.06763896346092224,0.08139592409133911,0.003009319305419922,0.12075954675674438,0.11969944834709167,0.0531156063079834,0.08160215616226196,0.0034581124782562256,0.12146389484405518,0.11990827322006226,0.05283951759338379
3_n,0.07820090651512146,0.10165470838546753,0.017083317041397095,0.11202624440193176,0.12921559810638428,0.07960653305053711,0.10827606916427612,0.0,0.11024221777915955,0.14945799112319946,0.08103328943252563,0.10295191407203674,0.05179837346076965,0.11319014430046082,0.13237106800079346,0.0789235532283783,0.1027844250202179,0.01807078719139099,0.1129351556301117,0.12913882732391357
4_n,0.09979778528213501,0.09579360485076904,0.09755843877792358,0.0036877691745758057,0.1543433666229248,0.10499340295791626,0.11050456762313843,0.11024221777915955,0.0,0.19002455472946167,0.09324687719345093,0.09364721179008484,0.09779420495033264,0.0041065216064453125,0.15268665552139282,0.09405791759490967,0.0928519070148468,0.09969863295555115,0.004687100648880005,0.15476840734481812
5_n,0.10118550062179565,0.0784292221069336,0.17856672406196594,0.20589521527290344,0.005906909704208374,0.0940503478050232,0.06763896346092224,0.14945799112319946,0.19002455472946167,0.0,0.10052788257598877,0.07767775654792786,0.179196298122406,0.205595463514328,0.005910307168960571,0.09879159927368164,0.07784625887870789,0.17759913206100464,0.20537573099136353,0.006332427263259888
1_sh1,0.0006467103958129883,0.07488960027694702,0.08099311590194702,0.09793359041213989,0.0880511999130249,0.0021002888679504395,0.08139592409133911,0.08103328943252563,0.09324687719345093,0.10052788257598877,0.0,0.07542157173156738,0.08004006743431091,0.10155576467514038,0.08677530288696289,0.0038640499114990234,0.07481187582015991,0.08112373948097229,0.10244721174240112,0.08711522817611694
2_sh1,0.07634294033050537,0.00025334954261779785,0.10781669616699219,0.10031008720397949,0.05816173553466797,0.07697618007659912,0.003009319305419922,0.10295191407203674,0.09364721179008484,0.07767775654792786,0.07542157173156738,0.0,0.10779577493667603,0.0992911159992218,0.0575350821018219,0.07597905397415161,0.0015124678611755371,0.10985395312309265,0.0996902585029602,0.05800515413284302
3_sh1,0.08042457699775696,0.1082872748374939,0.030086249113082886,0.09145942330360413,0.15420064330101013,0.08715999126434326,0.12075954675674438,0.05179837346076965,0.09779420495033264,0.179196298122406,0.08004006743431091,0.10779577493667603,0.0,0.0927450954914093,0.15199697017669678,0.08095428347587585,0.10833579301834106,0.026537835597991943,0.08843007683753967,0.15340545773506165
4_sh1,0.1008157730102539,0.1009499728679657,0.09136399626731873,0.0003941655158996582,0.16601711511611938,0.11032360792160034,0.11969944834709167,0.11319014430046082,0.0041065216064453125,0.205595463514328,0.10155576467514038,0.0992911159992218,0.0927450954914093,0.0,0.16643500328063965,0.09940195083618164,0.09960320591926575,0.09279277920722961,0.002415597438812256,0.16813123226165771
5_sh1,0.08618032932281494,0.05808830261230469,0.15421909093856812,0.16506803035736084,9.864568710327148e-05,0.08270430564880371,0.0531156063079834,0.13237106800079346,0.15268665552139282,0.005910307168960571,0.08677530288696289,0.0575350821018219,0.15199697017669678,0.16643500328063965,0.0,0.08680522441864014,0.05873146653175354,0.15377098321914673,0.1670680046081543,0.0006019473075866699
1_sh2,0.00142592191696167,0.07431691884994507,0.08041468262672424,0.09866523742675781,0.08774501085281372,0.0030357837677001953,0.08160215616226196,0.0789235532283783,0.09405791759490967,0.09879159927368164,0.0038640499114990234,0.07597905397415161,0.08095428347587585,0.09940195083618164,0.08680522441864014,0.0,0.07478153705596924,0.08201614022254944,0.10034924745559692,0.08607298135757446
2_sh2,0.07640618085861206,0.000568389892578125,0.10854366421699524,0.09918060898780823,0.0581335723400116,0.07826024293899536,0.0034581124782562256,0.1027844250202179,0.0928519070148468,0.07784625887870789,0.07481187582015991,0.0015124678611755371,0.10833579301834106,0.09960320591926575,0.05873146653175354,0.07478153705596924,0.0,0.10870698094367981,0.10011053085327148,0.05728062987327576
3_sh2,0.07992622256278992,0.10953518748283386,0.0008035898208618164,0.09257441759109497,0.15225639939308167,0.08694353699684143,0.12146389484405518,0.01807078719139099,0.09969863295555115,0.17759913206100464,0.08112373948097229,0.10985395312309265,0.026537835597991943,0.09279277920722961,0.15377098321914673,0.08201614022254944,0.10870698094367981,0.0,0.09066444635391235,0.152801513671875
4_sh2,0.10284346342086792,0.10000789165496826,0.09144571423530579,0.0008798837661743164,0.16466253995895386,0.11299270391464233,0.11990827322006226,0.1129351556301117,0.004687100648880005,0.20537573099136353,0.10244721174240112,0.0996902585029602,0.08843007683753967,0.002415597438812256,0.1670680046081543,0.10034924745559692,0.10011053085327148,0.09066444635391235,0.0,0.1668451726436615
5_sh2,0.08716195821762085,0.05943247675895691,0.15283378958702087,0.16659563779830933,0.0002225637435913086,0.08244264125823975,0.05283951759338379,0.12913882732391357,0.15476840734481812,0.006332427263259888,0.08711522817611694,0.05800515413284302,0.15340545773506165,0.16813123226165771,0.0006019473075866699,0.08607298135757446,0.05728062987327576,0.152801513671875,0.1668451726436615,0.0
